

=== Predictions on test data ===

 inst#     actual  predicted error prediction
   856        2:1        1:0   +   0.933 
   857        2:1        2:1       0.6 
   858        2:1        1:0   +   0.6 
   859        2:1        1:0   +   0.733 
   860        2:1        2:1       0.667 
   861        2:1        1:0   +   0.533 
   862        2:1        2:1       0.733 
   863        2:1        2:1       0.533 
   864        2:1        2:1       1 
   865        2:1        2:1       0.867 
   866        2:1        2:1       0.6 
   867        2:1        2:1       0.933 
   868        2:1        2:1       1 
   869        2:1        2:1       0.533 
   870        2:1        2:1       1 
   871        2:1        2:1       0.533 
   872        2:1        1:0   +   0.6 
   873        2:1        2:1       0.533 
   874        2:1        2:1       0.867 
   875        2:1        2:1       0.667 
   876        2:1        1:0   +   0.733 
   877        2:1        1:0   +   0.667 
   878        2:1        1:0   +   0.533 
   879        2:1        1:0   +   0.933 
   880        2:1        1:0   +   0.6 
   881        2:1        2:1       0.933 
   882        2:1        2:1       0.667 
   883        2:1        2:1       0.733 
   884        2:1        2:1       0.533 
   885        2:1        2:1       0.8 
   886        2:1        2:1       0.867 
   887        2:1        2:1       0.667 
   888        2:1        2:1       1 
   889        2:1        2:1       0.533 
   890        2:1        2:1       0.933 
   891        2:1        1:0   +   0.667 
   892        2:1        2:1       0.733 
   893        2:1        1:0   +   0.733 
   894        2:1        2:1       0.8 
   895        2:1        2:1       0.533 
   896        2:1        1:0   +   0.6 
   897        2:1        1:0   +   0.533 
   898        2:1        2:1       1 
   899        2:1        1:0   +   0.6 
   900        2:1        2:1       0.933 
   901        2:1        2:1       0.867 
   902        2:1        2:1       1 
   903        2:1        1:0   +   0.667 
   904        2:1        2:1       0.667 
   905        2:1        2:1       0.933 
   906        2:1        2:1       1 
   907        2:1        2:1       0.733 
   908        2:1        2:1       0.6 
   909        2:1        2:1       0.533 
   910        2:1        2:1       0.667 
   911        2:1        2:1       0.933 
   912        2:1        2:1       0.8 
   913        2:1        2:1       0.6 
   914        2:1        1:0   +   1 
   915        2:1        2:1       0.533 
   916        2:1        2:1       1 
   917        2:1        2:1       0.733 
   918        2:1        2:1       1 
   919        2:1        1:0   +   0.733 
   920        2:1        2:1       0.867 
   921        2:1        2:1       0.867 
   922        2:1        2:1       0.933 
   923        2:1        2:1       0.933 
   924        2:1        1:0   +   0.733 
   925        2:1        2:1       1 
   926        2:1        2:1       1 
   927        2:1        2:1       1 
   928        2:1        2:1       0.667 
   929        2:1        1:0   +   0.533 
   930        2:1        2:1       0.533 
   931        2:1        1:0   +   1 
   932        2:1        1:0   +   0.533 
   933        2:1        1:0   +   0.8 
   934        2:1        1:0   +   0.6 
   935        2:1        1:0   +   0.867 
   936        2:1        2:1       0.533 
   937        2:1        1:0   +   0.6 
   938        2:1        2:1       0.667 
   939        2:1        2:1       0.8 
   940        2:1        2:1       0.733 
   941        2:1        2:1       1 
   942        2:1        2:1       0.933 
   943        2:1        1:0   +   0.733 
   944        2:1        2:1       0.667 
   945        2:1        2:1       0.933 
   946        2:1        2:1       0.6 
   947        2:1        1:0   +   0.6 
   948        2:1        2:1       0.6 
   949        2:1        2:1       0.533 
   950        2:1        2:1       0.533 
   951        2:1        1:0   +   0.8 
   952        2:1        2:1       0.6 
   953        2:1        2:1       0.867 
   954        2:1        2:1       0.933 
   955        2:1        2:1       1 
   956        2:1        2:1       0.867 
   957        2:1        2:1       1 
   958        2:1        2:1       0.667 
   959        2:1        2:1       1 
   960        2:1        2:1       0.533 
   961        2:1        2:1       1 
   962        2:1        2:1       0.867 
   963        2:1        2:1       1 
   964        2:1        2:1       0.933 
   965        2:1        1:0   +   0.667 
   966        2:1        2:1       1 
   967        2:1        2:1       0.733 
   968        2:1        2:1       1 
   969        2:1        2:1       0.667 
   970        2:1        2:1       0.867 
   971        2:1        2:1       0.8 
   972        2:1        1:0   +   0.6 
   973        2:1        1:0   +   0.6 
   974        2:1        1:0   +   0.6 
   975        2:1        1:0   +   0.733 
   976        2:1        2:1       0.733 
   977        2:1        2:1       0.933 
   978        2:1        2:1       0.733 
   979        2:1        1:0   +   0.733 
   980        2:1        2:1       0.867 
   981        2:1        2:1       0.867 
   982        2:1        2:1       0.6 
   983        2:1        1:0   +   0.533 
   984        2:1        2:1       1 
   985        2:1        1:0   +   0.667 
   986        2:1        2:1       1 
   987        2:1        2:1       0.6 
   988        2:1        2:1       0.8 
   989        2:1        2:1       0.533 
   990        2:1        1:0   +   0.733 
   991        2:1        2:1       0.933 
   992        2:1        2:1       0.533 
   993        2:1        2:1       1 
   994        2:1        2:1       0.8 
   995        2:1        2:1       0.733 
   996        2:1        2:1       0.667 
   997        2:1        2:1       1 
   998        2:1        2:1       0.867 
   999        2:1        2:1       1 
  1000        2:1        2:1       0.867 
  1001        2:1        1:0   +   0.733 
  1002        2:1        2:1       0.867 
  1003        2:1        2:1       0.533 
  1004        2:1        2:1       0.933 
  1005        2:1        2:1       0.933 
  1006        2:1        1:0   +   0.933 
  1007        2:1        2:1       0.933 
  1008        2:1        2:1       0.733 
  1009        2:1        2:1       0.733 
  1010        2:1        2:1       0.667 
  1011        2:1        2:1       0.933 
  1012        2:1        2:1       0.6 
  1013        2:1        2:1       0.933 
  1014        2:1        2:1       0.933 
  1015        2:1        2:1       1 
  1016        2:1        1:0   +   0.533 
  1017        2:1        1:0   +   0.733 
  1018        2:1        2:1       1 
  1019        2:1        1:0   +   0.533 
  1020        2:1        2:1       0.8 
  1021        2:1        2:1       1 
  1022        2:1        2:1       0.733 
  1023        2:1        2:1       0.667 
  1024        2:1        1:0   +   0.6 
  1025        2:1        1:0   +   0.733 
  1026        2:1        2:1       0.6 
  1027        2:1        2:1       0.533 
  1028        2:1        2:1       0.8 
  1029        2:1        2:1       0.6 
  1030        2:1        2:1       0.933 
  1031        2:1        2:1       0.667 
  1032        2:1        2:1       0.933 
  1033        2:1        2:1       1 
  1034        2:1        1:0   +   0.933 
  1035        2:1        2:1       1 
  1036        2:1        1:0   +   0.667 
  1037        2:1        1:0   +   0.733 
  1038        2:1        1:0   +   0.6 
  1039        2:1        2:1       0.933 
  1040        2:1        1:0   +   0.667 
  1041        2:1        1:0   +   0.667 
  1042        2:1        2:1       1 
  1043        2:1        1:0   +   0.533 
  1044        2:1        1:0   +   0.6 
  1045        2:1        2:1       0.933 
  1046        2:1        2:1       0.867 
  1047        2:1        2:1       0.933 
  1048        2:1        2:1       0.933 
  1049        2:1        2:1       0.733 
  1050        2:1        1:0   +   0.6 
  1051        2:1        2:1       0.8 
  1052        2:1        2:1       0.533 
  1053        2:1        1:0   +   0.533 
  1054        2:1        2:1       0.867 
  1055        2:1        1:0   +   0.6 
  1056        2:1        2:1       0.667 
  1057        2:1        1:0   +   0.533 
  1058        2:1        2:1       0.667 
  1059        2:1        2:1       0.867 
  1060        2:1        2:1       0.933 
  1061        2:1        1:0   +   0.733 
  1062        2:1        2:1       1 
  1063        2:1        2:1       0.667 
  1064        2:1        2:1       0.933 
  1065        2:1        2:1       1 
  1066        2:1        2:1       0.933 
  1067        2:1        2:1       0.733 
  1068        2:1        2:1       1 
  1069        2:1        1:0   +   0.733 
  1070        2:1        1:0   +   0.6 
  1071        2:1        2:1       1 
  1072        2:1        1:0   +   0.667 
  1073        2:1        2:1       1 
  1074        2:1        2:1       0.733 
  1075        2:1        2:1       0.667 
  1076        2:1        2:1       0.733 
  1077        2:1        2:1       0.667 
  1078        2:1        2:1       0.867 
  1079        2:1        2:1       0.8 
  1080        2:1        2:1       1 
  1081        2:1        2:1       0.6 
  1082        2:1        1:0   +   0.667 
  1083        2:1        2:1       0.8 
  1084        2:1        2:1       0.8 
  1085        2:1        1:0   +   0.6 
  1086        2:1        2:1       0.867 
  1087        2:1        2:1       1 
  1088        2:1        1:0   +   0.6 
  1089        2:1        2:1       0.8 
  1090        2:1        2:1       0.667 
  1091        2:1        2:1       0.933 
  1092        2:1        1:0   +   0.8 
  1093        2:1        2:1       0.8 
  1094        2:1        2:1       0.933 
  1095        2:1        2:1       0.933 
  1096        2:1        2:1       0.533 
  1097        2:1        2:1       0.867 
  1098        2:1        2:1       0.867 
  1099        2:1        2:1       1 
  1100        2:1        2:1       0.733 
  1101        2:1        2:1       0.867 
  1102        2:1        2:1       0.6 
  1103        2:1        2:1       0.667 
  1104        2:1        2:1       0.8 
  1105        2:1        2:1       0.933 
  1106        2:1        2:1       0.733 
  1107        2:1        2:1       0.867 
  1108        2:1        1:0   +   0.667 
  1109        2:1        2:1       0.867 
  1110        2:1        2:1       0.667 
  1111        2:1        2:1       0.667 
  1112        2:1        2:1       0.867 
  1113        2:1        1:0   +   0.533 
  1114        2:1        1:0   +   0.6 
  1115        2:1        2:1       1 
  1116        2:1        2:1       1 
  1117        2:1        2:1       0.933 
  1118        2:1        2:1       0.933 
  1119        2:1        2:1       0.867 
  1120        2:1        2:1       1 
  1121        2:1        1:0   +   0.533 
  1122        2:1        1:0   +   0.6 
  1123        2:1        2:1       0.733 
  1124        2:1        2:1       0.533 
  1125        2:1        1:0   +   0.733 
  1126        2:1        2:1       0.867 
  1127        2:1        2:1       0.6 
  1128        2:1        1:0   +   0.667 
  1129        2:1        1:0   +   0.667 
  1130        2:1        2:1       1 
  1131        2:1        2:1       0.533 
  1132        2:1        2:1       1 
  1133        2:1        1:0   +   0.667 
  1134        2:1        2:1       0.667 
  1135        2:1        2:1       0.933 
  1136        2:1        2:1       0.733 
  1137        2:1        2:1       0.733 
  1138        2:1        2:1       0.933 
  1139        2:1        2:1       0.8 
  1140        2:1        2:1       0.667 
  1141        2:1        2:1       0.933 
  1142        2:1        2:1       0.867 
  1143        2:1        2:1       0.733 
  1144        2:1        2:1       0.667 
  1145        2:1        2:1       0.6 
  1146        2:1        2:1       0.933 
  1147        2:1        2:1       0.733 
  1148        2:1        1:0   +   0.533 
  1149        2:1        1:0   +   0.533 
  1150        2:1        2:1       0.8 
  1151        2:1        2:1       0.6 
  1152        2:1        2:1       0.533 
  1153        2:1        2:1       0.6 
  1154        2:1        1:0   +   0.533 
  1155        2:1        1:0   +   0.533 
  1156        2:1        1:0   +   0.6 
  1157        2:1        2:1       0.667 
  1158        2:1        2:1       0.667 
  1159        2:1        1:0   +   0.667 
  1160        2:1        2:1       0.733 
  1161        2:1        2:1       0.667 
  1162        2:1        1:0   +   0.6 
  1163        2:1        1:0   +   0.533 
  1164        2:1        2:1       0.6 
  1165        2:1        2:1       0.6 
  1166        2:1        1:0   +   0.6 
  1167        2:1        2:1       0.733 
  1168        2:1        2:1       0.667 
  1169        2:1        2:1       0.8 
  1170        2:1        1:0   +   0.667 
  1171        2:1        1:0   +   0.667 
  1172        2:1        2:1       1 
  1173        2:1        2:1       0.667 
  1174        2:1        2:1       0.6 
  1175        2:1        2:1       1 
  1176        2:1        1:0   +   0.733 
  1177        2:1        2:1       0.533 
  1178        2:1        2:1       0.533 
  1179        2:1        2:1       0.933 
  1180        2:1        2:1       0.933 
  1181        2:1        2:1       0.867 
  1182        2:1        2:1       0.6 
  1183        2:1        2:1       0.933 
  1184        2:1        2:1       0.733 
  1185        2:1        2:1       0.667 
  1186        2:1        2:1       0.733 
  1187        2:1        2:1       0.733 
  1188        2:1        2:1       0.867 
  1189        2:1        2:1       0.667 
  1190        2:1        1:0   +   0.533 
  1191        2:1        2:1       0.867 
  1192        2:1        1:0   +   0.667 
  1193        2:1        2:1       1 
  1194        2:1        2:1       0.733 
  1195        2:1        2:1       0.6 
  1196        2:1        2:1       0.8 
  1197        2:1        2:1       0.533 
  1198        2:1        2:1       0.6 
  1199        2:1        2:1       0.733 
  1200        2:1        2:1       1 
  1201        2:1        1:0   +   0.667 
  1202        2:1        2:1       1 
  1203        2:1        2:1       0.533 
  1204        2:1        2:1       0.933 
  1205        2:1        1:0   +   0.867 
  1206        2:1        2:1       0.733 
  1207        2:1        2:1       0.533 
  1208        2:1        2:1       0.867 
  1209        2:1        2:1       0.933 
  1210        2:1        2:1       1 
  1211        2:1        2:1       0.667 
  1212        2:1        2:1       0.733 
  1213        2:1        2:1       0.733 
  1214        2:1        2:1       0.933 
  1215        2:1        2:1       0.933 
  1216        2:1        2:1       0.6 
  1217        2:1        2:1       0.8 
  1218        2:1        2:1       0.667 
  1219        2:1        2:1       0.933 
  1220        2:1        2:1       0.8 
  1221        2:1        2:1       0.933 
  1222        2:1        2:1       0.867 
  1223        2:1        1:0   +   0.6 
  1224        2:1        2:1       0.8 
  1225        2:1        2:1       0.933 
  1226        2:1        2:1       0.733 
  1227        2:1        1:0   +   0.533 
  1228        2:1        2:1       0.533 
  1229        2:1        2:1       0.6 
  1230        2:1        2:1       0.867 
  1231        2:1        2:1       0.667 
  1232        2:1        2:1       0.667 
  1233        2:1        2:1       1 
  1234        2:1        2:1       1 
  1235        2:1        2:1       0.8 
  1236        2:1        2:1       0.933 
  1237        2:1        2:1       0.8 
  1238        2:1        1:0   +   0.533 
  1239        2:1        2:1       1 
  1240        2:1        2:1       0.533 
  1241        2:1        2:1       0.533 
  1242        2:1        2:1       0.667 
  1243        2:1        2:1       0.667 
  1244        2:1        2:1       1 
  1245        2:1        2:1       1 
  1246        2:1        2:1       1 
  1247        2:1        1:0   +   0.667 
  1248        2:1        2:1       0.6 
  1249        2:1        2:1       0.733 
  1250        2:1        2:1       0.667 
  1251        2:1        2:1       0.6 
  1252        2:1        2:1       0.867 
  1253        2:1        2:1       0.933 
  1254        2:1        2:1       0.733 
  1255        2:1        1:0   +   0.867 
  1256        2:1        2:1       0.533 
  1257        2:1        2:1       0.867 
  1258        2:1        1:0   +   0.533 
  1259        2:1        2:1       0.8 
  1260        2:1        1:0   +   0.733 
  1261        2:1        2:1       1 
  1262        2:1        2:1       0.733 
  1263        2:1        1:0   +   0.667 
  1264        2:1        2:1       0.667 
  1265        2:1        1:0   +   0.533 
  1266        2:1        2:1       0.8 
  1267        2:1        2:1       0.667 
  1268        2:1        2:1       0.667 
  1269        2:1        2:1       0.733 
  1270        2:1        2:1       0.933 
  1271        2:1        2:1       0.533 
  1272        2:1        2:1       1 
  1273        2:1        1:0   +   0.533 
  1274        2:1        1:0   +   0.533 
  1275        2:1        1:0   +   0.667 
  1276        2:1        2:1       0.733 
  1277        2:1        2:1       0.667 
  1278        2:1        2:1       0.6 
  1279        2:1        2:1       0.6 
  1280        2:1        2:1       0.533 
  1281        2:1        1:0   +   0.533 
  1282        2:1        2:1       0.667 
  1283        2:1        2:1       1 
  1284        2:1        1:0   +   0.6 
  1285        2:1        1:0   +   0.6 
  1286        2:1        2:1       0.933 
  1287        2:1        2:1       0.933 
  1288        2:1        1:0   +   0.6 
  1289        2:1        2:1       0.933 
  1290        2:1        2:1       1 
  1291        2:1        2:1       0.8 
  1292        2:1        2:1       0.8 
  1293        2:1        2:1       0.733 
  1294        2:1        2:1       0.6 
  1295        2:1        2:1       0.6 
  1296        2:1        2:1       0.733 
  1297        2:1        1:0   +   0.6 
  1298        2:1        2:1       0.933 
  1299        2:1        2:1       0.867 
  1300        2:1        2:1       1 
  1301        2:1        1:0   +   0.8 
  1302        2:1        2:1       0.6 
  1303        2:1        2:1       1 
  1304        2:1        2:1       0.867 
  1305        2:1        2:1       0.8 
  1306        2:1        2:1       0.6 
  1307        2:1        1:0   +   0.6 
  1308        2:1        2:1       0.933 
  1309        2:1        2:1       0.933 
  1310        2:1        1:0   +   0.867 
  1311        2:1        2:1       0.867 
  1312        2:1        2:1       0.867 
  1313        2:1        2:1       0.867 
  1314        2:1        2:1       0.867 
  1315        2:1        2:1       0.6 
  1316        2:1        2:1       0.733 
  1317        2:1        2:1       0.933 
  1318        2:1        2:1       0.933 
  1319        2:1        1:0   +   0.533 
  1320        2:1        1:0   +   0.667 
  1321        2:1        2:1       0.667 
  1322        2:1        2:1       0.733 
  1323        2:1        1:0   +   0.733 
  1324        2:1        1:0   +   0.533 
  1325        2:1        2:1       0.6 
  1326        2:1        2:1       0.6 
  1327        2:1        2:1       1 
  1328        2:1        2:1       0.667 
  1329        2:1        2:1       1 
  1330        2:1        1:0   +   0.8 
  1331        2:1        2:1       0.6 
  1332        2:1        1:0   +   0.533 
  1333        2:1        2:1       0.867 
  1334        2:1        1:0   +   0.733 
  1335        2:1        2:1       0.867 
  1336        2:1        1:0   +   0.667 
  1337        2:1        2:1       0.533 
  1338        2:1        1:0   +   0.667 
  1339        2:1        1:0   +   0.733 
  1340        2:1        2:1       0.533 
  1341        2:1        2:1       0.8 
  1342        2:1        1:0   +   0.6 
  1343        2:1        1:0   +   0.6 
  1344        2:1        1:0   +   0.6 
  1345        2:1        1:0   +   0.6 
  1346        2:1        2:1       0.8 
  1347        2:1        2:1       0.533 
  1348        2:1        2:1       1 
  1349        2:1        2:1       0.8 
  1350        2:1        2:1       1 
  1351        2:1        1:0   +   0.8 
  1352        2:1        1:0   +   0.533 
  1353        2:1        2:1       0.933 
  1354        2:1        2:1       0.6 
  1355        2:1        2:1       0.6 
  1356        2:1        2:1       0.533 
  1357        2:1        2:1       0.733 
  1358        2:1        2:1       0.867 
  1359        2:1        2:1       0.667 
  1360        2:1        2:1       0.733 
  1361        2:1        2:1       0.933 
  1362        2:1        2:1       1 
  1363        2:1        2:1       0.6 
  1364        2:1        2:1       0.533 
  1365        2:1        2:1       0.933 
  1366        2:1        2:1       0.8 
  1367        2:1        2:1       0.867 
  1368        2:1        2:1       0.733 
  1369        2:1        2:1       0.733 
  1370        2:1        1:0   +   0.733 
  1371        2:1        1:0   +   0.933 
  1372        2:1        2:1       0.6 
  1373        2:1        2:1       0.8 
  1374        2:1        2:1       0.933 
  1375        2:1        1:0   +   0.533 
  1376        2:1        2:1       1 
  1377        2:1        2:1       0.867 
  1378        2:1        2:1       0.933 
  1379        2:1        2:1       0.533 
  1380        2:1        1:0   +   0.533 
  1381        2:1        2:1       0.933 
  1382        2:1        2:1       1 
  1383        2:1        2:1       0.867 
  1384        2:1        2:1       0.6 
  1385        2:1        2:1       0.533 
  1386        2:1        2:1       1 
  1387        2:1        1:0   +   0.667 
  1388        2:1        2:1       0.533 
  1389        2:1        2:1       0.867 
  1390        2:1        2:1       0.933 
  1391        2:1        2:1       0.933 
  1392        2:1        2:1       0.533 
  1393        2:1        2:1       0.8 
  1394        2:1        2:1       1 
  1395        2:1        2:1       1 
  1396        2:1        1:0   +   0.8 
  1397        2:1        1:0   +   0.667 
  1398        2:1        2:1       0.6 
  1399        2:1        2:1       0.867 
  1400        2:1        2:1       0.733 
  1401        2:1        2:1       0.6 
  1402        2:1        1:0   +   0.533 
  1403        2:1        2:1       0.6 
  1404        2:1        1:0   +   0.533 
  1405        2:1        2:1       0.933 
  1406        2:1        1:0   +   0.667 
  1407        2:1        2:1       1 
  1408        2:1        2:1       0.933 
  1409        2:1        2:1       0.933 
  1410        2:1        2:1       1 
  1411        2:1        1:0   +   0.6 
  1412        2:1        2:1       1 
  1413        2:1        2:1       0.6 
  1414        2:1        2:1       0.867 
  1415        2:1        1:0   +   0.8 
  1416        2:1        2:1       0.533 
  1417        2:1        1:0   +   0.533 
  1418        2:1        2:1       0.667 
  1419        2:1        2:1       1 
  1420        2:1        1:0   +   0.533 
  1421        2:1        1:0   +   0.533 
  1422        2:1        2:1       0.533 
  1423        2:1        1:0   +   0.6 
  1424        2:1        2:1       0.933 
  1425        2:1        1:0   +   0.6 
  1426        2:1        2:1       0.933 
  1427        2:1        2:1       0.533 
  1428        2:1        1:0   +   0.6 
  1429        2:1        2:1       0.8 
  1430        2:1        1:0   +   0.6 
  1431        2:1        2:1       0.533 
  1432        2:1        2:1       0.933 
  1433        2:1        2:1       0.8 
  1434        2:1        1:0   +   0.667 
  1435        2:1        1:0   +   0.6 
  1436        2:1        2:1       0.867 
  1437        2:1        2:1       0.667 
  1438        2:1        2:1       0.867 
  1439        2:1        2:1       0.933 
  1440        2:1        2:1       0.733 
  1441        2:1        2:1       0.733 
  1442        2:1        2:1       0.733 
  1443        2:1        2:1       0.867 
  1444        2:1        2:1       0.667 
  1445        2:1        1:0   +   0.6 
  1446        2:1        2:1       0.867 
  1447        2:1        2:1       1 
  1448        2:1        2:1       0.733 
  1449        2:1        2:1       0.8 
  1450        2:1        2:1       0.6 
  1451        2:1        2:1       0.933 
  1452        2:1        1:0   +   0.533 
  1453        2:1        2:1       0.6 
  1454        2:1        2:1       0.867 
  1455        2:1        2:1       0.867 
  1456        2:1        2:1       0.867 
  1457        2:1        2:1       0.867 
  1458        2:1        2:1       1 
  1459        2:1        1:0   +   0.667 
  1460        2:1        2:1       1 
  1461        2:1        2:1       1 
  1462        2:1        1:0   +   0.533 
  1463        2:1        2:1       1 
  1464        2:1        2:1       0.533 
  1465        2:1        2:1       0.533 
  1466        2:1        2:1       0.6 
  1467        2:1        1:0   +   0.6 
  1468        2:1        2:1       0.533 
  1469        2:1        2:1       1 
  1470        2:1        2:1       0.6 
  1471        2:1        2:1       0.733 
  1472        2:1        2:1       0.8 
  1473        2:1        2:1       0.667 
  1474        2:1        2:1       0.8 
  1475        2:1        2:1       0.667 
  1476        2:1        2:1       0.667 
  1477        2:1        2:1       0.667 
  1478        2:1        2:1       1 
  1479        2:1        1:0   +   0.6 
  1480        2:1        1:0   +   0.933 
  1481        2:1        2:1       0.867 
  1482        2:1        1:0   +   0.533 
  1483        2:1        2:1       0.933 
  1484        2:1        2:1       0.667 
  1485        2:1        1:0   +   0.733 
  1486        2:1        1:0   +   0.667 
  1487        2:1        1:0   +   0.8 
  1488        2:1        1:0   +   0.6 
  1489        2:1        2:1       0.733 
  1490        2:1        1:0   +   0.533 
  1491        2:1        1:0   +   0.533 
  1492        2:1        2:1       0.6 
  1493        2:1        2:1       1 
  1494        2:1        2:1       0.867 
  1495        2:1        2:1       0.667 
  1496        2:1        2:1       0.533 
  1497        2:1        2:1       0.733 
  1498        2:1        2:1       0.533 
  1499        2:1        1:0   +   0.867 
  1500        2:1        2:1       0.533 
  1501        2:1        2:1       0.933 
  1502        2:1        2:1       0.733 
  1503        2:1        1:0   +   0.533 
  1504        2:1        1:0   +   0.6 
  1505        2:1        2:1       0.6 
  1506        2:1        2:1       0.933 
  1507        2:1        2:1       0.8 
  1508        2:1        2:1       1 
  1509        2:1        1:0   +   0.533 
  1510        2:1        1:0   +   0.6 
  1511        2:1        2:1       0.667 
  1512        2:1        2:1       0.6 
  1513        2:1        1:0   +   0.667 
  1514        2:1        2:1       1 
  1515        2:1        1:0   +   0.733 
  1516        2:1        2:1       0.733 
  1517        2:1        2:1       0.6 
  1518        2:1        2:1       0.733 
  1519        2:1        1:0   +   0.867 
  1520        2:1        1:0   +   0.533 
  1521        2:1        1:0   +   0.733 
  1522        2:1        2:1       0.6 
  1523        2:1        2:1       0.733 
  1524        2:1        1:0   +   0.6 
  1525        2:1        2:1       0.8 
  1526        2:1        2:1       0.933 
  1527        2:1        2:1       0.6 
  1528        2:1        1:0   +   0.667 
  1529        2:1        1:0   +   0.733 
  1530        2:1        2:1       1 
  1531        2:1        2:1       0.8 
  1532        2:1        2:1       1 
  1533        2:1        2:1       1 
  1534        2:1        2:1       0.867 
  1535        2:1        2:1       0.733 
  1536        2:1        2:1       0.667 
  1537        2:1        2:1       0.867 
  1538        2:1        1:0   +   0.667 
  1539        2:1        2:1       0.867 
  1540        2:1        2:1       0.6 
  1541        2:1        1:0   +   0.667 
  1542        2:1        2:1       0.667 
  1543        2:1        2:1       0.667 
  1544        2:1        2:1       0.6 
  1545        2:1        1:0   +   0.667 
  1546        2:1        1:0   +   0.533 
  1547        2:1        1:0   +   0.667 
  1548        2:1        1:0   +   0.6 
  1549        2:1        2:1       0.933 
  1550        2:1        2:1       0.667 
  1551        2:1        2:1       1 
  1552        2:1        2:1       0.533 
  1553        2:1        1:0   +   0.8 
  1554        2:1        1:0   +   0.6 
  1555        2:1        2:1       1 
  1556        2:1        2:1       0.933 
  1557        2:1        2:1       0.667 
  1558        2:1        2:1       0.867 
  1559        2:1        1:0   +   0.733 
  1560        2:1        2:1       1 
  1561        2:1        2:1       0.733 
  1562        2:1        1:0   +   0.667 
  1563        2:1        2:1       0.933 
  1564        2:1        2:1       0.667 
  1565        2:1        1:0   +   0.6 
  1566        2:1        1:0   +   0.6 
  1567        2:1        2:1       0.8 
  1568        2:1        2:1       1 
  1569        2:1        2:1       0.933 
  1570        2:1        2:1       0.6 
  1571        2:1        2:1       0.933 
  1572        2:1        2:1       0.867 
  1573        2:1        2:1       0.933 
  1574        2:1        2:1       0.8 
  1575        2:1        2:1       1 
  1576        2:1        2:1       0.667 
  1577        2:1        2:1       0.733 
  1578        2:1        2:1       0.533 
  1579        2:1        1:0   +   0.6 
  1580        2:1        2:1       1 
  1581        2:1        2:1       0.933 
  1582        2:1        2:1       0.733 
  1583        2:1        2:1       0.867 
  1584        2:1        2:1       0.867 
  1585        2:1        2:1       0.733 
  1586        2:1        2:1       0.933 
  1587        2:1        2:1       0.533 
  1588        2:1        1:0   +   0.667 
  1589        2:1        2:1       0.933 
  1590        2:1        2:1       0.533 
  1591        2:1        2:1       0.8 
  1592        2:1        2:1       1 
  1593        2:1        1:0   +   0.533 
  1594        2:1        1:0   +   0.6 
  1595        2:1        2:1       0.733 
  1596        2:1        2:1       0.733 
  1597        2:1        2:1       0.933 
  1598        2:1        2:1       0.6 
  1599        2:1        2:1       0.533 
  1600        2:1        2:1       0.6 
  1601        2:1        1:0   +   0.6 
  1602        2:1        2:1       0.733 
  1603        2:1        2:1       0.733 
  1604        2:1        2:1       0.933 
  1605        2:1        2:1       0.667 
  1606        2:1        2:1       0.933 
  1607        2:1        2:1       1 
  1608        2:1        2:1       0.533 
  1609        2:1        1:0   +   0.6 
  1610        2:1        1:0   +   0.533 
  1611        2:1        1:0   +   0.667 
  1612        2:1        2:1       1 
  1613        2:1        1:0   +   0.6 
  1614        2:1        2:1       0.933 
  1615        2:1        2:1       0.8 
  1616        2:1        2:1       1 
  1617        2:1        2:1       1 
  1618        2:1        1:0   +   0.733 
  1619        2:1        2:1       0.533 
  1620        2:1        2:1       1 
  1621        2:1        1:0   +   0.6 
  1622        2:1        1:0   +   0.533 
  1623        2:1        2:1       0.667 
  1624        2:1        1:0   +   0.8 
  1625        2:1        2:1       0.6 
  1626        2:1        1:0   +   0.533 
  1627        2:1        2:1       1 
  1628        2:1        2:1       0.6 
  1629        2:1        2:1       0.733 
  1630        2:1        1:0   +   0.733 
  1631        2:1        2:1       0.533 
  1632        2:1        1:0   +   0.533 
  1633        2:1        2:1       0.6 
  1634        2:1        2:1       0.8 
  1635        2:1        1:0   +   0.533 
  1636        2:1        2:1       1 
  1637        2:1        2:1       0.867 
  1638        2:1        2:1       0.867 
  1639        2:1        1:0   +   0.533 
  1640        2:1        1:0   +   0.933 
  1641        2:1        1:0   +   0.733 
  1642        2:1        2:1       1 
  1643        2:1        1:0   +   0.6 
  1644        2:1        2:1       0.867 
  1645        2:1        2:1       1 
  1646        2:1        2:1       1 
  1647        2:1        2:1       0.8 
  1648        2:1        2:1       0.867 
  1649        2:1        2:1       0.533 
  1650        2:1        2:1       0.8 
  1651        2:1        2:1       0.667 
  1652        2:1        2:1       0.8 
  1653        2:1        2:1       0.667 
  1654        2:1        2:1       1 
  1655        2:1        2:1       0.867 
  1656        2:1        1:0   +   0.6 
  1657        2:1        1:0   +   0.6 
  1658        2:1        1:0   +   0.6 
  1659        2:1        2:1       0.6 
  1660        2:1        2:1       0.733 
  1661        2:1        2:1       0.533 
  1662        2:1        2:1       0.533 
  1663        2:1        2:1       0.533 
  1664        2:1        1:0   +   0.533 
  1665        2:1        1:0   +   0.667 
  1666        2:1        2:1       0.867 
  1667        2:1        2:1       0.667 
  1668        2:1        2:1       0.933 
  1669        2:1        1:0   +   0.667 
  1670        2:1        2:1       0.533 
  1671        2:1        2:1       0.733 
  1672        2:1        2:1       0.6 
  1673        2:1        2:1       0.933 
